BMS老化测试详细判定报表

基本信息
通道号,33
货架号,01-C01
主机条码,2222
从机1条码,221
从机2条码,223
从机3条码,222
测试配方,DJ2513_1
测试开始时间,2026-06-03 19:35:35
测试结束时间,2026-06-03 19:37:14
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,OK,PASS,7.54,2026-06-03 19:35:43
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.12,2026-06-03 19:35:49
供电DCDC+电压测试,NULL,11.0,13.0,12.065,PASS,1.77,2026-06-03 19:35:50
1模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.24,2026-06-03 19:35:56
2模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.26,2026-06-03 19:36:01
3模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.28,2026-06-03 19:36:06
单体电压测试准备,NULL,--,--,OK,PASS,4.01,2026-06-03 19:36:10
节点配置,NULL,--,--,0.0,PASS,10.12,2026-06-03 19:36:20
单体电压读取_01,V,2.497,2.503,2.5,PASS,0.05,2026-06-03 19:36:20
单体电压读取_02,V,2.497,2.503,2.5,PASS,0.06,2026-06-03 19:36:20
单体电压读取_03,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:21
单体电压读取_04,V,2.497,2.503,2.5,PASS,0.05,2026-06-03 19:36:21
单体电压读取_05,V,2.497,2.503,2.499,PASS,1.25,2026-06-03 19:36:22
单体电压读取_06,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:22
单体电压读取_07,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:22
单体电压读取_08,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:22
单体电压读取_09,V,2.497,2.503,2.499,PASS,0.05,2026-06-03 19:36:22
单体电压读取_10,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:22
单体电压读取_11,V,2.497,2.503,2.5,PASS,0.06,2026-06-03 19:36:22
单体电压读取_12,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:22
单体电压读取_13,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:22
单体电压读取_14,V,2.497,2.503,2.5,PASS,0.06,2026-06-03 19:36:22
单体电压读取_15,V,2.497,2.503,2.499,PASS,0.05,2026-06-03 19:36:22
单体电压读取_16,V,2.497,2.503,2.499,PASS,0.05,2026-06-03 19:36:22
单体电压读取_17,V,2.497,2.503,2.5,PASS,0.05,2026-06-03 19:36:23
单体电压读取_18,V,2.497,2.503,2.5,PASS,0.06,2026-06-03 19:36:23
单体电压读取_19,V,2.497,2.503,2.499,PASS,0.07,2026-06-03 19:36:23
单体电压读取_20,V,2.497,2.503,2.5,PASS,0.06,2026-06-03 19:36:23
单体电压读取_21,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:23
单体电压读取_22,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:23
单体电压读取_23,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:23
单体电压读取_24,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:23
单体电压读取_25,V,2.497,2.503,2.5,PASS,0.05,2026-06-03 19:36:23
单体电压读取_26,V,2.497,2.503,2.5,PASS,0.05,2026-06-03 19:36:23
单体电压读取_27,V,2.497,2.503,2.5,PASS,0.05,2026-06-03 19:36:23
单体电压读取_28,V,2.497,2.503,2.499,PASS,0.05,2026-06-03 19:36:23
单体电压读取_29,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:23
单体电压读取_30,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:23
单体电压读取_31,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:23
单体电压读取_32,V,2.497,2.503,2.499,PASS,0.05,2026-06-03 19:36:23
单体电压读取_33,V,2.497,2.503,2.5,PASS,0.05,2026-06-03 19:36:23
单体电压读取_34,V,2.497,2.503,2.5,PASS,0.05,2026-06-03 19:36:24
单体电压读取_35,V,2.497,2.503,2.499,PASS,0.05,2026-06-03 19:36:24
单体电压读取_36,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:24
单体电压读取_37,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:24
单体电压读取_38,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:24
单体电压读取_39,V,2.497,2.503,2.499,PASS,0.05,2026-06-03 19:36:24
单体电压读取_40,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:24
单体电压读取_41,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:24
单体电压读取_42,V,2.497,2.503,2.499,PASS,0.06,2026-06-03 19:36:24
单体电压读取_43,V,2.497,2.503,2.499,PASS,0.05,2026-06-03 19:36:24
单体电压读取_44,V,2.497,2.503,2.499,PASS,0.05,2026-06-03 19:36:24
单体电压读取_45,V,2.497,2.503,2.499,PASS,0.07,2026-06-03 19:36:24
单体电压读取_46,V,2.497,2.503,2.5,PASS,0.05,2026-06-03 19:36:24
单体电压读取_47,V,2.497,2.503,2.499,PASS,0.05,2026-06-03 19:36:24
单体电压读取_48,V,2.497,2.503,2.5,PASS,0.06,2026-06-03 19:36:24
单体电压读取_49,V,2.497,2.503,2.5,PASS,0.05,2026-06-03 19:36:24
单体电压读取_50,V,2.497,2.503,2.5,PASS,0.06,2026-06-03 19:36:24
