BMS老化测试详细判定报表

基本信息
通道号,1
货架号,
主机条码,未知主机
测试配方,CA550_Loop_Test_100x
测试开始时间,2026-07-03 08:58:06
测试结束时间,2026-07-03 09:04:48
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
Cycle 1 - 输出 1.5V,V,1.4,1.6,1.5,PASS,1.46,2026-07-03 08:58:08
Cycle 1 - 输出 3.3V,V,3.2,3.4,3.3,PASS,1.63,2026-07-03 08:58:09
Cycle 1 - 输出关闭,V,-0.1,0.1,0.0,PASS,1.01,2026-07-03 08:58:10
Cycle 2 - 输出 1.5V,V,1.4,1.6,1.5,PASS,1.46,2026-07-03 08:58:12
Cycle 2 - 输出 3.3V,V,3.2,3.4,3.3,PASS,1.51,2026-07-03 08:58:13
Cycle 2 - 输出关闭,V,-0.1,0.1,0.0,PASS,1.01,2026-07-03 08:58:14
Cycle 3 - 输出 1.5V,V,1.4,1.6,1.5,PASS,1.49,2026-07-03 08:58:16
Cycle 3 - 输出 3.3V,V,3.2,3.4,3.3,PASS,1.53,2026-07-03 08:58:17
Cycle 3 - 输出关闭,V,-0.1,0.1,0.0,PASS,1.01,2026-07-03 08:58:18
Cycle 4 - 输出 1.5V,V,1.4,1.6,1.5,PASS,1.47,2026-07-03 08:58:20
Cycle 4 - 输出 3.3V,V,3.2,3.4,3.3,PASS,1.52,2026-07-03 08:58:21
Cycle 4 - 输出关闭,V,-0.1,0.1,0.0,PASS,1.01,2026-07-03 08:58:22
Cycle 5 - 输出 1.5V,V,1.4,1.6,1.5,PASS,1.45,2026-07-03 08:58:24
Cycle 5 - 输出 3.3V,V,3.2,3.4,3.3,PASS,1.50,2026-07-03 08:58:25
Cycle 5 - 输出关闭,V,-0.1,0.1,0.0,PASS,1.01,2026-07-03 08:58:26
Cycle 6 - 输出 1.5V,V,1.4,1.6,1.5,PASS,1.48,2026-07-03 08:58:28
Cycle 6 - 输出 3.3V,V,3.2,3.4,3.3,PASS,1.54,2026-07-03 08:58:29
Cycle 6 - 输出关闭,V,-0.1,0.1,0.0,PASS,1.01,2026-07-03 08:58:30
Cycle 7 - 输出 1.5V,V,1.4,1.6,1.5,PASS,1.47,2026-07-03 08:58:32
Cycle 7 - 输出 3.3V,V,3.2,3.4,3.3,PASS,1.52,2026-07-03 08:58:33
Cycle 7 - 输出关闭,V,-0.1,0.1,0.0,PASS,1.01,2026-07-03 08:58:34
Cycle 8 - 输出 1.5V,V,1.4,1.6,1.5,PASS,1.45,2026-07-03 08:58:36
Cycle 8 - 输出 3.3V,V,3.2,3.4,3.3,PASS,1.51,2026-07-03 08:58:37
Cycle 8 - 输出关闭,V,-0.1,0.1,0.0,PASS,1.01,2026-07-03 08:58:38
Cycle 9 - 输出 1.5V,V,1.4,1.6,1.5,PASS,1.48,2026-07-03 08:58:40
Cycle 9 - 输出 3.3V,V,3.2,3.4,3.3,PASS,1.53,2026-07-03 08:58:41
