BMS老化测试详细判定报表

基本信息
通道号,3
货架号,01-A03
主机条码,1111
从机1条码,124
从机2条码,125
从机3条码,126
测试配方,DJ2513_Aging
测试开始时间,2026-05-30 19:34:57
测试结束时间,2026-05-30 19:41:04
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,8.24,2026-05-30 19:35:05
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.08,2026-05-30 19:35:11
供电DCDC+电压测试,NULL,11.0,13.0,12.038,PASS,1.79,2026-05-30 19:35:13
供电P+电压测试,NULL,11.0,13.0,12.018,PASS,0.07,2026-05-30 19:35:13
CAN2通讯测试,NULL,OK,--,OK,PASS,1.06,2026-05-30 19:35:14
CAN4通讯测试,NULL,OK,--,OK,PASS,1.12,2026-05-30 19:35:15
CAN1通讯测试,NULL,OK,--,OK,PASS,1.04,2026-05-30 19:35:16
KL15唤醒源识别,NULL,11.0,13.0,12.208,PASS,0.06,2026-05-30 19:35:16
HALL 5V供电回采电压,NULL,4.95,5.05,5.001,PASS,0.05,2026-05-30 19:35:16
SIG1脉冲阻抗,Ω,45000.0,55000.0,47410.0,PASS,2.08,2026-05-30 19:35:18
SIG3脉冲阻抗,Ω,90000.0,110000.0,93649.0,PASS,2.06,2026-05-30 19:35:20
HVIL1-IN功能采集,V,9.0,11.0,9.586,PASS,5.01,2026-05-30 19:35:25
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-30 19:35:25
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-30 19:35:25
HVIL1-OUT功能采集,V,9.0,11.0,9.454,PASS,5.02,2026-05-30 19:35:30
HVIL2-IN功能采集,V,9.0,11.0,9.632,PASS,5.01,2026-05-30 19:35:35
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-30 19:35:35
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.07,2026-05-30 19:35:36
HVIL2-OUT功能采集,V,9.0,11.0,9.421,PASS,5.05,2026-05-30 19:35:41
HVIL3-IN功能采集,V,9.0,11.0,9.619,PASS,5.05,2026-05-30 19:35:46
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.07,2026-05-30 19:35:46
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-30 19:35:46
HVIL3-OUT功能采集,V,9.0,11.0,9.593,PASS,5.09,2026-05-30 19:35:51
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.63,2026-05-30 19:35:53
GB_2015+CC1有效测试,V,3.9,4.1,4.071,PASS,0.54,2026-05-30 19:35:53
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.177,PASS,1.17,2026-05-30 19:35:54
Chaoji_CC2无效测试,V,1.0,1.5,1.36,PASS,2.06,2026-05-30 19:35:56
Chaoji_CC2有效测试,V,0.5,0.8,0.661,PASS,1.05,2026-05-30 19:35:57
