BMS老化测试详细判定报表

基本信息
通道号,1
货架号,01-A01
主机条码,1
从机1条码,1
从机2条码,1
从机3条码,1
测试配方,DJ2513_Aging
测试开始时间,2026-05-23 22:55:38
测试结束时间,2026-05-23 22:57:56
测试总判定,FAIL

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,17.00,2026-05-23 22:55:55
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.18,2026-05-23 22:56:01
供电DCDC+电压测试,NULL,11.0,13.0,12.018,PASS,0.79,2026-05-23 22:56:02
供电P+电压测试,NULL,11.0,13.0,12.025,PASS,0.05,2026-05-23 22:56:02
1AFE供电输出-40V,V,39.5,40.5,40.0,PASS,4.74,2026-05-23 22:56:07
2AFE供电输出-40V,V,39.5,40.5,40.0,PASS,3.62,2026-05-23 22:56:11
3AFE供电输出-40V,V,39.5,40.5,40.1,PASS,5.12,2026-05-23 22:56:16
1模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.34,2026-05-23 22:56:21
2模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.50,2026-05-23 22:56:26
3模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.42,2026-05-23 22:56:32
单体电压测试准备,NULL,--,--,PASS,PASS,0.01,2026-05-23 22:56:32
节点配置,NULL,--,--,0.0,PASS,10.10,2026-05-23 22:56:42
单体电压读取_01,V,2.497,2.503,2.5,PASS,0.05,2026-05-23 22:56:42
单体电压读取_02,V,2.497,2.503,2.5,PASS,0.05,2026-05-23 22:56:42
单体电压读取_03,V,2.497,2.503,2.499,PASS,0.04,2026-05-23 22:56:42
单体电压读取_04,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:42
单体电压读取_05,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:42
单体电压读取_06,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:42
单体电压读取_07,V,2.497,2.503,2.499,PASS,0.06,2026-05-23 22:56:42
单体电压读取_08,V,2.497,2.503,2.5,PASS,0.05,2026-05-23 22:56:42
单体电压读取_09,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:42
单体电压读取_10,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:43
单体电压读取_11,V,2.497,2.503,2.5,PASS,0.05,2026-05-23 22:56:43
单体电压读取_12,V,2.497,2.503,2.499,PASS,0.06,2026-05-23 22:56:43
单体电压读取_13,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:43
单体电压读取_14,V,2.497,2.503,2.499,PASS,0.06,2026-05-23 22:56:43
单体电压读取_15,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:43
单体电压读取_16,V,2.497,2.503,2.5,PASS,0.06,2026-05-23 22:56:43
单体电压读取_17,V,2.497,2.503,2.5,PASS,0.04,2026-05-23 22:56:43
单体电压读取_18,V,2.497,2.503,2.499,PASS,0.06,2026-05-23 22:56:43
单体电压读取_19,V,2.497,2.503,2.5,PASS,0.05,2026-05-23 22:56:43
单体电压读取_20,V,2.497,2.503,2.499,PASS,0.04,2026-05-23 22:56:43
单体电压读取_21,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:43
单体电压读取_22,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:43
单体电压读取_23,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:43
单体电压读取_24,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:43
单体电压读取_25,V,2.497,2.503,2.499,PASS,0.07,2026-05-23 22:56:43
单体电压读取_26,V,2.497,2.503,2.5,PASS,0.08,2026-05-23 22:56:43
单体电压读取_27,V,2.497,2.503,2.499,PASS,0.06,2026-05-23 22:56:43
单体电压读取_28,V,2.497,2.503,2.5,PASS,0.05,2026-05-23 22:56:43
单体电压读取_29,V,2.497,2.503,2.499,PASS,0.06,2026-05-23 22:56:44
单体电压读取_30,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:44
单体电压读取_31,V,2.497,2.503,2.499,PASS,0.06,2026-05-23 22:56:44
单体电压读取_32,V,2.497,2.503,2.499,PASS,0.02,2026-05-23 22:56:44
单体电压读取_33,V,2.497,2.503,2.5,PASS,0.06,2026-05-23 22:56:44
单体电压读取_34,V,2.497,2.503,2.5,PASS,0.06,2026-05-23 22:56:44
单体电压读取_35,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:44
单体电压读取_36,V,2.497,2.503,2.5,PASS,0.05,2026-05-23 22:56:44
单体电压读取_37,V,2.497,2.503,2.5,PASS,0.06,2026-05-23 22:56:44
单体电压读取_38,V,2.497,2.503,2.499,PASS,1.25,2026-05-23 22:56:45
单体电压读取_39,V,2.497,2.503,2.5,PASS,0.05,2026-05-23 22:56:45
单体电压读取_40,V,2.497,2.503,2.499,PASS,0.05,2026-05-23 22:56:45
单体电压读取_41,V,2.497,2.503,2.5,PASS,0.06,2026-05-23 22:56:45
单体电压读取_42,V,2.497,2.503,2.5,PASS,0.05,2026-05-23 22:56:45
单体电压读取_43,V,2.497,2.503,2.5,PASS,0.06,2026-05-23 22:56:45
单体电压读取_44,V,2.497,2.503,2.5,PASS,0.06,2026-05-23 22:56:46
