BMS老化测试详细判定报表

基本信息
通道号,4
货架号,01-A04
主机条码,234567
从机1条码,SDFGHJ
从机2条码,DSF
从机3条码,DFGHJ
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 13:32:34
测试结束时间,2026-05-24 13:39:21
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.41,2026-05-24 13:32:45
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.13,2026-05-24 13:32:52
供电DCDC+电压测试,NULL,11.0,13.0,12.058,PASS,1.91,2026-05-24 13:32:53
供电P+电压测试,NULL,11.0,13.0,12.058,PASS,0.06,2026-05-24 13:32:54
CAN2通讯测试,NULL,OK,--,OK,PASS,1.07,2026-05-24 13:32:55
CAN4通讯测试,NULL,OK,--,OK,PASS,1.02,2026-05-24 13:32:56
CAN1通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-24 13:32:57
KL15唤醒源识别,NULL,11.0,13.0,12.208,PASS,0.05,2026-05-24 13:32:57
HALL 5V供电回采电压,NULL,4.95,5.05,4.996,PASS,0.06,2026-05-24 13:32:57
SIG1脉冲阻抗,Ω,45000.0,55000.0,48607.0,PASS,2.06,2026-05-24 13:32:59
SIG3脉冲阻抗,Ω,90000.0,110000.0,95581.0,PASS,2.05,2026-05-24 13:33:01
HVIL1-IN功能采集,V,9.0,11.0,9.646,PASS,5.02,2026-05-24 13:33:06
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 13:33:06
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 13:33:06
HVIL1-OUT功能采集,V,9.0,11.0,9.461,PASS,5.03,2026-05-24 13:33:11
HVIL2-IN功能采集,V,9.0,11.0,9.632,PASS,5.01,2026-05-24 13:33:16
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.04,2026-05-24 13:33:16
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 13:33:16
HVIL2-OUT功能采集,V,9.0,11.0,9.441,PASS,5.02,2026-05-24 13:33:21
HVIL3-IN功能采集,V,9.0,11.0,9.626,PASS,5.11,2026-05-24 13:33:26
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 13:33:27
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 13:33:27
HVIL3-OUT功能采集,V,9.0,11.0,9.639,PASS,5.02,2026-05-24 13:33:32
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.61,2026-05-24 13:33:33
GB_2015+CC1有效测试,V,3.9,4.1,4.083,PASS,0.54,2026-05-24 13:33:34
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.207,PASS,1.15,2026-05-24 13:33:35
Chaoji_CC2无效测试,V,1.0,1.5,1.357,PASS,2.05,2026-05-24 13:33:37
Chaoji_CC2有效测试,V,0.5,0.8,0.663,PASS,1.05,2026-05-24 13:33:38
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.09,2026-05-24 13:33:39
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,2.93,2026-05-24 13:33:42
环境温度测试,℃,0.0,85.0,27.4,PASS,0.22,2026-05-24 13:33:42
NTC1,℃,-45.0,90.0,25.0,PASS,0.05,2026-05-24 13:33:42
NTC2,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 13:33:42
NTC3,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 13:33:42
NTC4,℃,-45.0,90.0,25.0,PASS,0.05,2026-05-24 13:33:43
HSD_OUTPUT1（LL）,V,2.6,3.0,2.965,PASS,1.46,2026-05-24 13:33:44
HSD_OUTPUT1（LH）,V,0.0,0.3,0.0,PASS,1.56,2026-05-24 13:33:46
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.001,PASS,0.06,2026-05-24 13:33:46
HSD_OUTPUT1（HH）,V,11.0,13.0,11.246,PASS,1.48,2026-05-24 13:33:47
HSD_OUTPUT1_CS（HH）,V,0.65,0.85,0.803,PASS,1.15,2026-05-24 13:33:48
HSD_OUTPUT2（LL）,V,2.6,3.0,2.958,PASS,1.47,2026-05-24 13:33:50
HSD_OUTPUT2（LH）,V,0.0,0.3,0.0,PASS,1.48,2026-05-24 13:33:51
HSD_OUTPUT2_CS（LH）,V,0.0,0.05,0.004,PASS,0.04,2026-05-24 13:33:51
HSD_OUTPUT2（HH）,V,11.0,13.0,11.639,PASS,1.47,2026-05-24 13:33:53
HSD_OUTPUT2_CS（HH）,V,0.35,0.5,0.429,PASS,1.13,2026-05-24 13:33:54
HSD_OUTPUT3（LL）,V,2.6,3.0,2.972,PASS,0.99,2026-05-24 13:33:55
HSD_OUTPUT3（LH）,V,0.0,0.3,0.0,PASS,1.62,2026-05-24 13:33:56
HSD_OUTPUT3_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-24 13:33:57
HSD_OUTPUT3（HH）,V,11.0,13.0,11.246,PASS,1.48,2026-05-24 13:33:58
HSD_OUTPUT3_CS（HH）,V,0.65,0.85,0.802,PASS,0.49,2026-05-24 13:33:59
HSD_OUTPUT4（LL）,V,2.6,3.0,2.972,PASS,1.01,2026-05-24 13:34:00
HSD_OUTPUT4（LH）,V,0.0,0.3,0.0,PASS,0.96,2026-05-24 13:34:00
HSD_OUTPUT4_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-24 13:34:01
HSD_OUTPUT4（HH）,V,11.0,13.0,11.605,PASS,1.45,2026-05-24 13:34:02
HSD_OUTPUT4_CS（HH）,V,0.35,0.5,0.429,PASS,1.16,2026-05-24 13:34:03
HSD_OUTPUT5（L）,V,0.0,0.3,0.0,PASS,1.14,2026-05-24 13:34:04
HSD_OUTPUT5_CS（L）,V,0.0,0.05,0.004,PASS,0.05,2026-05-24 13:34:04
HSD_OUTPUT5（H）,V,11.0,13.0,11.219,PASS,1.15,2026-05-24 13:34:06
HSD_OUTPUT5_CS（H）,V,0.65,0.85,0.815,PASS,0.61,2026-05-24 13:34:06
HSD_OUTPUT6（L）,V,0.0,0.3,0.0,PASS,0.64,2026-05-24 13:34:07
HSD_OUTPUT6_CS（L）,V,0.0,0.05,0.004,PASS,0.05,2026-05-24 13:34:07
HSD_OUTPUT6（H）,V,11.0,13.0,11.612,PASS,1.12,2026-05-24 13:34:08
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.437,PASS,0.62,2026-05-24 13:34:09
HSD_OUTPUT7（L）,V,0.0,0.1,0.006,PASS,0.59,2026-05-24 13:34:09
HSD_OUTPUT7（H）,V,11.0,13.0,11.233,PASS,1.09,2026-05-24 13:34:10
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.8,PASS,0.60,2026-05-24 13:34:11
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.64,2026-05-24 13:34:11
HSD_OUTPUT8（H）,V,11.0,13.0,11.598,PASS,1.09,2026-05-24 13:34:13
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.428,PASS,0.60,2026-05-24 13:34:13
LSD_OUTPUT1（L）,V,2.6,3.0,2.96,PASS,0.96,2026-05-24 13:34:14
LSD_OUTPUT1（H）,V,0.0,0.3,0.019,PASS,2.69,2026-05-24 13:34:17
LSD_OUTPUT2（L）,V,2.6,3.0,2.967,PASS,0.99,2026-05-24 13:34:18
LSD_OUTPUT2（H）,V,0.0,0.3,0.026,PASS,2.36,2026-05-24 13:34:20
LSD_OUTPUT3（L）,V,2.6,3.0,2.973,PASS,0.99,2026-05-24 13:34:21
LSD_OUTPUT3（H）,V,0.0,0.3,0.046,PASS,2.71,2026-05-24 13:34:24
LSD_OUTPUT4（L）,V,2.6,3.0,2.973,PASS,0.98,2026-05-24 13:34:25
LSD_OUTPUT4（H）,V,0.0,0.3,0.026,PASS,2.87,2026-05-24 13:34:28
@高压源控制-100V,V,99.0,101.0,100.0489,PASS,10.04,2026-05-24 13:34:38
高压1测试-100V,V,99.0,101.0,100.077,PASS,0.07,2026-05-24 13:34:38
高压2测试-100V,V,99.0,101.0,99.963,PASS,0.05,2026-05-24 13:34:38
高压3测试-100V,V,99.0,101.0,99.431,PASS,0.05,2026-05-24 13:34:38
@高压源控制-750V,V,749.0,751.0,749.9912,PASS,4.23,2026-05-24 13:34:42
