BMS老化测试详细判定报表

基本信息
通道号,1
货架号,
主机条码,未知主机
测试配方,DJ2513_Aging
测试开始时间,2026-07-24 22:38:45
测试结束时间,2026-07-24 22:42:47
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,8.26,2026-07-24 22:38:53
BMS板工作唤醒,NULL,--,--,PASS,PASS,7.36,2026-07-24 22:39:00
供电DCDC+电压测试,NULL,11.0,13.0,11.904,PASS,1.81,2026-07-24 22:39:02
供电P+电压测试,NULL,11.0,13.0,11.87,PASS,0.04,2026-07-24 22:39:02
CAN2通讯测试,NULL,OK,--,OK,PASS,1.68,2026-07-24 22:39:04
CAN4通讯测试,NULL,OK,--,OK,PASS,1.21,2026-07-24 22:39:05
CAN1通讯测试,NULL,OK,--,OK,PASS,1.13,2026-07-24 22:39:06
KL15唤醒源识别,NULL,11.0,13.0,12.114,PASS,0.05,2026-07-24 22:39:06
HALL 5V供电回采电压,NULL,4.0,6.0,4.993,PASS,0.05,2026-07-24 22:39:06
SIG1脉冲阻抗,Ω,40000.0,60000.0,51304.0,PASS,2.21,2026-07-24 22:39:09
SIG3脉冲阻抗,Ω,80000.0,120000.0,99463.0,PASS,2.17,2026-07-24 22:39:11
HVIL1-IN功能采集,V,9.0,11.0,9.501,PASS,5.09,2026-07-24 22:39:16
HVIL1-频率,Hz,47.0,53.0,50.0,PASS,0.05,2026-07-24 22:39:16
HVIL1-占空比,%,47.0,53.0,50.0,PASS,0.08,2026-07-24 22:39:16
HVIL1-OUT功能采集,V,9.0,11.0,9.309,PASS,5.15,2026-07-24 22:39:21
HVIL2-IN功能采集,V,9.0,11.0,9.58,PASS,5.10,2026-07-24 22:39:26
HVIL2-频率,Hz,47.0,53.0,50.0,PASS,0.06,2026-07-24 22:39:26
HVIL2-占空比,%,47.0,53.0,50.0,PASS,0.05,2026-07-24 22:39:26
HVIL2-OUT功能采集,V,9.0,11.0,9.197,PASS,5.16,2026-07-24 22:39:32
HVIL3-IN功能采集,V,9.0,11.0,9.567,PASS,5.11,2026-07-24 22:39:37
HVIL3-频率,Hz,47.0,53.0,50.0,PASS,0.05,2026-07-24 22:39:37
HVIL3-占空比,%,47.0,53.0,50.0,PASS,0.05,2026-07-24 22:39:37
HVIL3-OUT功能采集,V,9.0,11.0,9.54,PASS,5.16,2026-07-24 22:39:42
GB_2015+CC1无效测试,V,0.0,1.0,0.004,PASS,1.85,2026-07-24 22:39:44
GB_2015+CC1有效测试,V,3.0,5.0,4.028,PASS,0.66,2026-07-24 22:39:44
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.0,11.0,10.122,PASS,1.25,2026-07-24 22:39:46
Chaoji_CC2无效测试,V,1.0,1.5,1.357,PASS,2.23,2026-07-24 22:39:48
Chaoji_CC2有效测试,V,0.0,1.0,0.652,PASS,1.17,2026-07-24 22:39:49
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,1.0,0.0,PASS,1.26,2026-07-24 22:39:50
Chaoji_CC2-PE断线模拟,V,0.0,1.0,0.008,PASS,2.14,2026-07-24 22:39:52
环境温度测试,℃,--,--,85.1,PASS,0.00,2026-07-24 22:39:53
NTC1,℃,--,--,85.0,PASS,0.05,2026-07-24 22:39:53
NTC2,℃,--,--,84.0,PASS,0.05,2026-07-24 22:39:53
NTC3,℃,--,--,85.0,PASS,0.06,2026-07-24 22:39:53
NTC4,℃,--,--,85.0,PASS,0.05,2026-07-24 22:39:53
HSD_OUTPUT1（LL）,V,2.0,4.0,2.918,PASS,1.51,2026-07-24 22:39:54
HSD_OUTPUT1（LH）,V,0.0,1.0,0.0,PASS,1.51,2026-07-24 22:39:56
HSD_OUTPUT1_CS（LH）,V,0.0,1.0,0.004,PASS,0.05,2026-07-24 22:39:56
HSD_OUTPUT1（HH）,V,10.0,12.5,10.786,PASS,1.47,2026-07-24 22:39:57
HSD_OUTPUT1_CS（HH）,V,0.0,1.0,0.754,PASS,1.19,2026-07-24 22:39:58
HSD_OUTPUT2（LL）,V,2.0,4.0,2.918,PASS,2.65,2026-07-24 22:40:01
HSD_OUTPUT2（LH）,V,0.0,1.0,0.0,PASS,1.54,2026-07-24 22:40:03
HSD_OUTPUT2_CS（LH）,V,0.0,1.0,0.003,PASS,0.06,2026-07-24 22:40:03
