BMS老化测试详细判定报表

基本信息
通道号,1
货架号,
主机条码,未知主机
测试配方,DJ2513_Aging
测试开始时间,2026-07-25 06:08:05
测试结束时间,2026-07-25 06:12:38
测试总判定,FAIL

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,8.19,2026-07-25 06:08:13
BMS板工作唤醒,NULL,--,--,PASS,PASS,7.34,2026-07-25 06:08:20
供电DCDC+电压测试,NULL,11.0,13.0,12.005,PASS,0.78,2026-07-25 06:08:21
供电P+电压测试,NULL,11.0,13.0,12.045,PASS,0.78,2026-07-25 06:08:22
CAN2通讯测试,NULL,OK,--,OK,PASS,1.67,2026-07-25 06:08:24
CAN4通讯测试,NULL,OK,--,OK,PASS,1.13,2026-07-25 06:08:25
CAN1通讯测试,NULL,OK,--,OK,PASS,1.14,2026-07-25 06:08:26
KL15唤醒源识别,NULL,11.0,13.0,12.235,PASS,0.05,2026-07-25 06:08:26
HALL 5V供电回采电压,NULL,4.0,6.0,5.008,PASS,0.05,2026-07-25 06:08:26
SIG1脉冲阻抗,Ω,40000.0,60000.0,48722.0,PASS,2.19,2026-07-25 06:08:28
SIG3脉冲阻抗,Ω,80000.0,120000.0,96096.0,PASS,2.17,2026-07-25 06:08:30
HVIL1-IN功能采集,V,9.0,11.0,9.547,PASS,5.10,2026-07-25 06:08:35
HVIL1-频率,Hz,47.0,53.0,50.0,PASS,0.06,2026-07-25 06:08:35
HVIL1-占空比,%,47.0,53.0,50.0,PASS,0.05,2026-07-25 06:08:35
HVIL1-OUT功能采集,V,9.0,11.0,9.474,PASS,5.15,2026-07-25 06:08:41
HVIL2-IN功能采集,V,9.0,11.0,9.567,PASS,5.07,2026-07-25 06:08:46
HVIL2-频率,Hz,47.0,53.0,50.0,PASS,0.05,2026-07-25 06:08:46
HVIL2-占空比,%,47.0,53.0,50.0,PASS,0.05,2026-07-25 06:08:46
HVIL2-OUT功能采集,V,9.0,11.0,9.461,PASS,5.23,2026-07-25 06:08:51
HVIL3-IN功能采集,V,9.0,11.0,9.553,PASS,5.05,2026-07-25 06:08:56
HVIL3-频率,Hz,47.0,53.0,50.0,PASS,0.06,2026-07-25 06:08:56
HVIL3-占空比,%,47.0,53.0,50.0,PASS,0.05,2026-07-25 06:08:56
HVIL3-OUT功能采集,V,9.0,11.0,9.553,PASS,5.21,2026-07-25 06:09:01
GB_2015+CC1无效测试,V,0.0,1.0,0.004,PASS,1.81,2026-07-25 06:09:03
GB_2015+CC1有效测试,V,3.0,5.0,4.054,PASS,0.69,2026-07-25 06:09:04
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.0,11.0,10.169,PASS,1.29,2026-07-25 06:09:05
Chaoji_CC2无效测试,V,1.0,1.5,1.363,PASS,2.24,2026-07-25 06:09:07
Chaoji_CC2有效测试,V,0.0,1.0,0.661,PASS,1.17,2026-07-25 06:09:09
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,1.0,0.0,PASS,1.15,2026-07-25 06:09:10
Chaoji_CC2-PE断线模拟,V,0.0,1.0,0.004,PASS,2.24,2026-07-25 06:09:12
环境温度测试,℃,--,--,-38.0,PASS,0.00,2026-07-25 06:09:12
NTC1,℃,--,--,-33.0,PASS,0.05,2026-07-25 06:09:12
NTC2,℃,--,--,-33.0,PASS,0.05,2026-07-25 06:09:12
NTC3,℃,--,--,-33.0,PASS,0.05,2026-07-25 06:09:12
NTC4,℃,--,--,-33.0,PASS,0.06,2026-07-25 06:09:12
HSD_OUTPUT1（LL）,V,2.0,4.0,2.952,PASS,1.44,2026-07-25 06:09:14
HSD_OUTPUT1（LH）,V,0.0,1.0,0.006,PASS,1.47,2026-07-25 06:09:15
HSD_OUTPUT1_CS（LH）,V,0.0,1.0,0.003,PASS,0.07,2026-07-25 06:09:15
HSD_OUTPUT1（HH）,V,10.0,12.5,11.206,PASS,1.45,2026-07-25 06:09:17
HSD_OUTPUT1_CS（HH）,V,0.0,1.0,0.709,PASS,1.15,2026-07-25 06:09:18
HSD_OUTPUT2（LL）,V,2.0,4.0,2.965,PASS,1.51,2026-07-25 06:09:19
HSD_OUTPUT2（LH）,V,0.0,1.0,0.0,PASS,1.47,2026-07-25 06:09:21
HSD_OUTPUT2_CS（LH）,V,0.0,1.0,0.004,PASS,0.05,2026-07-25 06:09:21
HSD_OUTPUT2（HH）,V,10.0,12.5,11.551,PASS,1.56,2026-07-25 06:09:22
HSD_OUTPUT2_CS（HH）,V,0.0,1.0,0.395,PASS,1.15,2026-07-25 06:09:24
HSD_OUTPUT3（LL）,V,2.0,4.0,0.054,NG,0.98,2026-07-25 06:09:25
HSD_OUTPUT3（LH）,V,0.0,1.0,0.006,PASS,1.47,2026-07-25 06:09:26
HSD_OUTPUT3_CS（LH）,V,0.0,1.0,0.003,PASS,0.05,2026-07-25 06:09:26
HSD_OUTPUT3（HH）,V,10.0,12.5,11.111,PASS,1.48,2026-07-25 06:09:28
HSD_OUTPUT3_CS（HH）,V,0.0,1.0,0.757,PASS,0.49,2026-07-25 06:09:28
HSD_OUTPUT4（LL）,V,2.0,4.0,2.965,PASS,0.98,2026-07-25 06:09:29
HSD_OUTPUT4（LH）,V,0.0,1.0,0.0,PASS,1.04,2026-07-25 06:09:30
HSD_OUTPUT4_CS（LH）,V,0.0,1.0,0.003,PASS,0.06,2026-07-25 06:09:30
HSD_OUTPUT4（HH）,V,10.0,12.5,11.558,PASS,1.50,2026-07-25 06:09:32
HSD_OUTPUT4_CS（HH）,V,0.0,1.0,0.405,PASS,1.13,2026-07-25 06:09:33
HSD_OUTPUT5（L）,V,0.0,1.0,0.0,PASS,1.13,2026-07-25 06:09:34
HSD_OUTPUT5_CS（L）,V,0.0,1.0,0.004,PASS,0.04,2026-07-25 06:09:34
