BMS老化测试详细判定报表

基本信息
通道号,3
货架号,01-A03
主机条码,RERTYU
从机1条码,WERTY
从机2条码,WERTYUI
从机3条码,RTJ
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 13:32:34
测试结束时间,2026-05-24 13:39:21
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.44,2026-05-24 13:32:45
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.13,2026-05-24 13:32:52
供电DCDC+电压测试,NULL,11.0,13.0,12.031,PASS,0.76,2026-05-24 13:32:52
供电P+电压测试,NULL,11.0,13.0,12.038,PASS,0.06,2026-05-24 13:32:52
CAN2通讯测试,NULL,OK,--,OK,PASS,1.21,2026-05-24 13:32:54
CAN4通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-24 13:32:55
CAN1通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-24 13:32:56
KL15唤醒源识别,NULL,11.0,13.0,12.195,PASS,0.05,2026-05-24 13:32:56
HALL 5V供电回采电压,NULL,4.95,5.05,5.001,PASS,0.06,2026-05-24 13:32:56
SIG1脉冲阻抗,Ω,45000.0,55000.0,46455.0,PASS,2.06,2026-05-24 13:32:58
SIG3脉冲阻抗,Ω,90000.0,110000.0,93548.0,PASS,2.05,2026-05-24 13:33:00
HVIL1-IN功能采集,V,9.0,11.0,9.593,PASS,5.01,2026-05-24 13:33:05
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 13:33:05
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.07,2026-05-24 13:33:05
HVIL1-OUT功能采集,V,9.0,11.0,9.454,PASS,5.01,2026-05-24 13:33:10
HVIL2-IN功能采集,V,9.0,11.0,9.632,PASS,5.06,2026-05-24 13:33:15
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 13:33:15
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 13:33:15
HVIL2-OUT功能采集,V,9.0,11.0,9.415,PASS,5.00,2026-05-24 13:33:20
HVIL3-IN功能采集,V,9.0,11.0,9.619,PASS,5.02,2026-05-24 13:33:25
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 13:33:25
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 13:33:25
HVIL3-OUT功能采集,V,9.0,11.0,9.599,PASS,5.11,2026-05-24 13:33:30
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.64,2026-05-24 13:33:32
GB_2015+CC1有效测试,V,3.9,4.1,4.066,PASS,0.56,2026-05-24 13:33:33
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.182,PASS,1.15,2026-05-24 13:33:34
Chaoji_CC2无效测试,V,1.0,1.5,1.36,PASS,2.06,2026-05-24 13:33:36
Chaoji_CC2有效测试,V,0.5,0.8,0.661,PASS,1.07,2026-05-24 13:33:37
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.12,2026-05-24 13:33:38
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.0,PASS,1.69,2026-05-24 13:33:40
环境温度测试,℃,0.0,85.0,27.4,PASS,2.51,2026-05-24 13:33:42
NTC1,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-24 13:33:42
NTC2,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 13:33:42
NTC3,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-24 13:33:42
NTC4,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 13:33:43
HSD_OUTPUT1（LL）,V,2.6,3.0,2.958,PASS,1.46,2026-05-24 13:33:44
HSD_OUTPUT1（LH）,V,0.0,0.3,0.0,PASS,1.57,2026-05-24 13:33:46
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.0,PASS,0.05,2026-05-24 13:33:46
HSD_OUTPUT1（HH）,V,11.0,13.0,11.145,PASS,1.48,2026-05-24 13:33:47
